Name,Born,Died,Nationality,Institutions,Alma mater,Notable awards,Fields,Total Count,Recursion,Nobel Laureate
Theodore William Richards,1868,1928,United States,Harvard University,Haverford College_Harvard University,Davy Medal_Willard Gibbs Award,Physical chemistry,918,14471,Yes
Albert Hofmann,1906,2008,Switzerland,NONE,University of Zurich,NONE,Chemistry,1906,26734,No
Vladimir Prelog,1906,1998,Croatia,Czech Institute of Technology_University of Zagre_ETH Zurich,Czech Technical University in Prague,Marcel Benoist Prize_Davy Medal_Paul Karrer Gold Medal,Biochemistry,3102,32858,Yes
Frank Sherwood Rowland,1927,2012,United States,University of California Irvine,Ohio Wesleyan University_University of Chicago,Albert Einstein World Award of Science_Peter Debye Award_Japan Prize_Tyler Prize for Environmental Achievement_Tolman Award,Chemistry,1420,19146,Yes
Stanford Moore,1913,1982,United States,Rockefeller University,Vanderbilt University_University of Wisconsin Madison,NONE,Biochemistry,26436,138029,Yes
Ilya Prigogine,1917,2003,Belgium,University Libre de Bruxelles_International Solvay Institute_University of Texas Austin,University Libre de Bruxelles,Francqui Prize_Rumford Medal,Chemistry_Physics,35355,274237,Yes
Robert Burns Woodward,1917,1979,United States,Harvard University,MIT,Davy Medal_National Medal of Science,Organic chemistry,5857,79667,Yes
E.J. Bowen,1898,1980,British,University of Oxford,University of Oxford,Davy Medal_Fellow of the Royal Society,Physical chemistry,930,38105,No
Fr??d??ric Joliot-Curie,1900,1958,France,Paris Faculty of Science,School of Chemistry and Physics of the city of Paris,NONE,Physics,2210,14557,Yes
Herbert Henry Dow,1866,1930,United States,Dow Chemical,Case School of Applied Science,Perkin Medal,Chemistry,229,648,No
Paul Flory,1910,1985,United States,DuPont_Stanford University_Carnegie Mellon University_Cornell University,Manchester University_Ohio State University,Charles Goodyear Medal_Peter Debye Award_Elliott Cresson Medal_Perkin Medal_Priestley Medal_National Medal of Science,Physical chemistry,41223,238771,Yes
Constantin C?›ndea,1887,1971,Romania,Polytechnic University of Timisoara,Koniglich Bayerische Technische Hochschule Munchen,NONE,Chemistry,31,59,No
Edwin McMillan,1907,1991,United States,University of California Berkeley_Berkeley Radiation Laboratory,California Institute of Technology_Princeton University,NONE,Chemistry,1031,22259,Yes
Gerty Cori,1896,1957,United States,Washington University,Karl-Ferdinands Universitat,NONE,Chemistry,2767,49311,Yes
Frederick Gowland Hopkins,1861,1947,United Kingdom,University of Cambridge,Kings College London_Guys Hospital,Royal Medal_Copley Medal_Albert Meda_Order of Merit,Biochemistry,1321,32698,Yes
Walter Gilbert,1932,NA,United States,Harvard University_University of Cambridge,Harvard University_University of Cambridge,NAS Award in Molecular Biology_Louisa Gross Horwitz Prize,Biochemistry_Physics,39974,335119,Yes
Peter Debye,1884,1966,United States,University of Zurich_University of Utrecht_University of Gottingen_ETH Zurich_University of Leipzig_University of Berlin_Cornell University,RWTH Aachen_University of Munich,Rumford Meda_Lorentz Medal,Physics_Chemistry,8555,134595,Yes
Jan Boldingh,1915,2003,Netherlands,Unilever,Utrecht University,NONE,Chemistry,472,12512,No
Jaroslav Heyrovsk?«,1890,1967,Czechoslovakia,Royal Air Force,Charles University_University College London,NONE,Polarography_Electroanalytical chemistry,2183,22422,Yes
Robert Curl,1933,NA,United States,Rice University_Harvard University,Rice University_University of California Berkeley,NONE,NONE,14936,136164,Yes
Richard Abegg,1869,1910,Germany,University of Gottingen_University of Stockholm_Wroclaw University of Technology,University of Kiel_University of Tubingen_University of Berlin,NONE,Chemist,362,8028,No
Vincent du Vigneaud,1901,1978,United States,Cornell Medical College_George Washington University,University of Rochester,Williams Gibbs Award,Chemistry,3049,60731,Yes
John Kendrew,1917,1997,United Kingdom,Royal Air Force,University of Cambridge,Royal Medal,Crystallography,2118,82613,Yes
Paul Karrer,1889,1971,Switzerland,University of Zurich,University of Zurich,Marcel Benoist Prize,Chemistry,588,10256,Yes
Moses Gomberg,1866,1947,United States,University of Michigan,University of Michigan,Willard Gibbs Award,Chemistry,574,4178,No
Arthur Harden,1865,1940,United Kingdom,Lister Institute,University of Manchester_University of Erlangen,Davy Medal,Biochemistry,694,20252,Yes
Geoffrey Wilkinson,1921,1996,United Kingdom,University of California Berkeley_Harvard University_Imperial College,Imperial College,Davy Medal_Royal Medal,Inorganic chemistry,25790,99781,Yes
William Merriam Burton,1865,1954,United States,Standard Oil,Western Reserve University_Johns Hopkins University,Willard Gibbs Award_Perkin Medal,Chemistry,0,0,No
Wilhelm Ostwald,1853,1932,Germany,University of Dorpat_Riga Polytechnicum_University of Leipzig,University of Dorpat,NONE,Physical chemistry,3449,52275,Yes
Johann Deisenhofer,1943,NA,Germany_United States,University of Texas Southwestern,Technical University of Munich_Max Planck Institute for Biochemistry,Max Delbruck Prize,Biophysics_Biochemistry,9550,120570,Yes
Lawrence E. Glendenin,1918,2008,United States,Oak Ridge National Laboratory_Argonne National Laboratory,University of Chicago_MIT,Glenn T. Seaborg Award for Nuclear Chemistry,Chemistry,939,6181,No
Charles Lee Reese,1862,1940,United States,The DuPont Company_Johns Hopkins University_The Citadel,The University of Virginia_Heidelberg University,NONE,Chemistry and Industrial Chemistry,4150,47761,No
Chaim Weizmann,1874,1952,United Kingdom,University of Geneva_University of Manchester,Polytechnic Institute of Darmstadt_Technishe Hochschule Berlin_University id Fribourg,NONE,NONE,644,8983,No
Mikhail Tsvet,1872,1919,Russia,Yuryev University,University of Karzan,NONE,Botany,1692,9212,No
Neil Bartlett,1932,2008,United States,University of British Columbia_Princeton University_University of California Berkeley,University of Durham,Elliott Cresson Medal_Davy Medal,Chemistry,1667,19441,No
Lars Onsager,1903,1976,Norway,ETH Zurich_Johns Hopkins University_Brown University_Yale University_University of Miami,Norwegian Institute of Technology,Lorentz Medal_Willard Gibbs Award_Peter Debye Award_National Medal of Science,Physical chemistry,26542,271245,Yes
Victor Goldschmidt,1888,1947,Switzerland,University of Oslo,University of Oslo,Foreign Member of the Royal Society_Elliott Cresson Medal_Wollaston Medal,Geochemistry,4516,73363,No
Heinrich Otto Wieland,1877,1957,Germany,Technical University of Munich_University of Freiburg_University of Munich,University of Munich,NONE,Chemistry,465,4625,Yes
Elias James Corey,1928,NA,United States,Harvard University,MIT,ACS Award in Pure Chemistry_Chevreul Medal_Fritzsche Award_Intra-Science Foundation Award_Harrison Howe Award_Centenary Medal_Ciba Foundation Medal_Linus Pauling Award_Dickson Prize_George Ledlie Prize_Remsen Award_Arthur C. Cope Award_Buchman Memorial Award_Franklin Medal_Scientific Achievement Award Medal_J. G. Kirkwood Award_C. S. Hamilton Award_Chemical Pioneer Award_Lewis S. Rosenstiel Award_Paul Karrer Gold Medal _Tetrahedron Prize_Willard Gibbs Award_Paracelsus Award_Madison Marshall Award_V.D. Mattia Award_Wolf Prize in Chemistry_Silliman Award_Robert Robinson Medal_National Medal of Science_Japan Prize_Janot Medal,Organic chemistry,1898,39811,Yes
Irving Langmuir,1881,1957,United States,Stevens Institute of Technology,Columbia University_University of Gottingen,John J. Carty Award_Faraday Medal_Willard Gibbs Award_Perkin Medal_Hughes Medal,Chemistry Physics,20863,145596,Yes
Edward Adelbert Doisy,1893,1986,United States,Washington University in St. Louis_St. Louis University,Havard University_Harvard Medical School_University of Illinois at Urban-Champaign ,Willard Gibbs Award,Biochemistry,633,6244,Yes
Jacques Monod,1910,1976,France,French Forces of the Interior,Sorbonne,NONE,Biology,14543,482063,Yes
Rudolph A. Marcus,1923,NA,United States_Canada,New York University_University of Illinois at Urbana-Champaigne_California Institute of Technology,McGill University,Irving Langmuir Award_Peter Debye Award_National Medal of Science,Chemistry,8745,101657,Yes
Eva Philbin,1914,2005,Ireland,University College Dublin_Hygeia Limited,University College Galway,NONE,Chemistry,225,3095,No
Victor Grignard,1871,1935,France,University of Nancy,University of Lyon,NONE,Organic chemistry,1227,6082,Yes
Humphry Bowen,1929,2001,United Kingdom,Atomic Energy Research Establishment_University of Reading,University of Oxford,NONE,Analytical chemistry,3775,63256,No
Ada Yonath,1939,NA,Israel,Weizmann Institute of Science,Hebrew University of Jerusalem_Weizmann Institute of Science,Harvey Prize_Wolf Prize in Chemistry_Albert Einstein World Award of Science,Crystallography,4065,41187,Yes
Mario J. Molina,1943,NA,Mexico,University of California San Diego_University of California Irvine_Jet Propulsion Laboratory_MIT,National Autonomous University of Mexico_Albert-Ludwigs-Universitat Freiburg_University of California Berkeley,Tyler Prize for Environmental Achievement_Newcomb Cleveland Prize_NASA Exceptional Scientific Achievement Medal_,Chemistry,7222,60972,Yes
Theodor Curtius,1857,1928,Germany,University of Heidelberg,Heidelberg University,NONE,NONE,311,9035,No
Aaron Ciechanover,1947,NA,Israel,Whitehead Institute at MIT_Ruth and Bruce Rappaport Faculty of Medicine,Hadassah Medical School_Technion - Israel Institute of Technology_,NONE,Biology,11709,137393,Yes
Percy Lavon Julian,1899,1975,United States,Fisk University_Howard University_Universoty of Vienna_DePauw University,DePauw University_Harvard University_University of Vienna,NONE,NONE,86,1401,No
Robert Robinson,1866,1975,United Kingdom,University of Sydney_University of Liverpool_British Dyestuffs Corporation_University of Manchester_University of London_University of Oxford,University of Manchester,Davy Medal_Royal Medal_Copley Medal_Franklin Medal_Albert Medal,Organic chemistry,22336,122619,Yes
Jacobus Henricus vant Hoff,1852,1911,Netherlands,Veterinary College in Utrecht_University of Amsterdam_University of Berlin,Delft University of Technology_University of Leiden_University of Bonn_University of Paris_University of Utrecht,Davy Medal,Physical chemistry_Organic chemistry,806,23529,Yes
Georg Wittig,1897,1987,Germany,University of Marburg_TU Braunschweig_University of Freiburg_University of Tubingen_University of Heidelberg,University of Marburg,Otto Hahn Prize for Chemistry and Physics_Paul Karrer Gold Medal,Chemistry,2498,39654,Yes
Archer John Porter Martin,1910,2002,United Kingdom,National Institue for Medical Research,University of Cambridge,NONE,NONE,1154,10263,Yes
Martin Chalfie,1947,NA,United States,Columbia University,Harvard University,E. B. Wilson Medal,Neurobiology,10384,335678,Yes
Peter Agre,1949,NA,United States,Johns Hopkins University,Augsburg College_Johns Hopkins University_Case Western Reserve University,NONE,Chemistry_Biochemistry,9074,68210,Yes
Hans A. Krebs,1900,1981,Germany,Kaiser Wilhelm Institute for Biology_University of Hamburg_University of Cambridge_University of Sheffield_University of Oxford,University of Gottingen_University of Freiburg_University of Berlin_University of Hamburg,NONE,Biochemistry,6784,81996,Yes
Yuan T. Lee,1936,NA,Japan,University of California Berkeley_University of Chicago_Lawrence Berkeley National Laboratory,National Taiwan University_Tsinghua University_University of California Berkeley,National Medal of Science_Peter Debye Award,Chemistry,4934,49243,Yes
Leo Baekeland,1863,1944,Belgium,Columbia University,Ghent University,John Scott Medal_Willard Gibbs Award_Perkin Medal,Chemistry,209,3392,No
George de Hevesy,1885,1966,Hungarian,Ghent University_University of Budapest_Niels Bohr Institute. ETH Zurich_University of Freiburg_University of Manchester_Stefan Meyer Institute for Subatomic Physics,University of Freiburg,NONE,Chemistry,83,687,Yes
Sidney Altman,1939,NA,Canada_United States,Yale University,MIT_Columbia University_University of Colorado at Boulder,NONE,Molecular biology,4615,72292,Yes
Roderick MacKinnon,1956,NA,United States,Harvard University_Rockefeller University,Brandeis University,Newcomb Cleveland Prize. Albert Lasker Award for Basic Medical Research_Perl-UNC Prize,Chemistry,16844,110312,Yes
Georges Urbain,1872,1938,France,Sorbonne,ESPCI Paris Tech,NONE,NONE,524,5506,No
Ir??ne Joliot-Curie,1897,1956,France,Faculty of Science,Sorbonne,NONE,Chemistry,204,2105,Yes
Rosalind Franklin,1920,1958,United Kingdom,British Coal Utilisation Research Association_Laboratoire Central des Services Chimiques de lEtat_Kings College,Newnham College,NONE,Chemistry,3544,77440,No
Max Tishler,1906,1989,United States,Merck Sharp and Dohme Research Laboratories,Tufts College_Harvard University,IRI Medal_National Medal of Science,Chemistry,653,11951,No
John Howard Northrop,1891,1987,United States,University of California Berkeley_Columbia University_Rockefeller University,Columbia University,Daniel Giraud Elliot Medal,Biochemistry,543,11898,Yes
Irwin Rose,1926,2015,United States,Fox Chase Cancer Center_University of Pennsylvania_University of California Irvine_Yale University,University of Chicago,NONE,Biology,2700,60526,Yes
William Ramsay,1852,1916,United Kingdom,University of Glasgow_University College Bristol_University College London,University of Glasgow_Andersons Institution,Leconte Prize_Barnard Medal for Meritorious Service to Science_Davy Medal,Chemistry,1898,108886,Yes
Ronald Breslow,1931,NA,United States,Columbia University,Harvard University,ACS Award in Pure Chemistry_National Medal of Science_Priestley Medal_Othmer Gold Medal_Perkin Medal_AIC Gold Medal,Chemistry,10626,131966,Yes
Emil Knoevenagel,1865,1921,Germany,NONE,NONE,NONE,NONE,154,4516,No
Ronald George Wreyford Norrish,1897,1978,United Kingdom,University of Cambridge,University of Cambridge,Davy Medal,Chemistry,72,2425,Yes
Roger Y. Tsien,1952,NA,United States,University of California San Diego_University of California Berkeley,Harvard University_University of Cambridge,E. B. Wilson Medal_Rosenstiel Award_Wolf Prize in Medicine_Keio Medical Science Prize_Dr A.H. Heineken Prize_Artois-Baillet Latour Health Prize_Gairdner Foundation International Award,Biochemistry,41722,532715,Yes
Robert H. Grubbs,1942,NA,United States,California Institute of Technology,University of Florida_Columbia University,Tolman Award_Linus Pauling Award,Organic chemistry,18557,158664,Yes
Hermann Emil Fischer,1852,1919,Germany,University of Munich_University of Erlangen_University of Wurzburg_University of Berlin,University of Bonn_University of Strasbourg,Davy Medal,Chemistry,843,10053,Yes
Friedrich Bergius,1884,1949,Germany,University of Hanover,University of Breslau_University of Leipzig,NONE,Chemistry,253,5995,Yes
Jean-Marie Lehn,1939,NA,France,Havard University_Coll??ge de France,University of Strabourg_University of Toronto Mississauga,Davy Medal,Supramolecular chemistry,13796,138421,Yes
Richard Kuhn,1900,1967,Germany_Austria,University of Heidelberg_ETH Zurich,University of Munich,Goethe Prize,Chemistry,3662,37169,Yes
Robert Bruce Merrifield,1921,2006,United States,Rockefeller University,UCLA,Gairdner Foundation International Award,Biochemistry,591,11221,Yes
Richard Willst??tter,1872,1942,Germany,University of Munich_ETH Zurich_University of Berlin_Kaiser Wilhelm Institute,University of Munich,NONE,Physical chemistry,1160,37597,Yes
Kary Mullis,1944,NA,United States,University of California San Francisco,Georgia Institute of Technology_University of California Berkeley,William Allan Award_Robert Koch Prize_Japan Prize,Molecular biology,44192,787413,Yes
Gerhard Herzberg,1904,1999,Germany,Carleton University,University of Saskatchewan,Henry Marshall Tory Medal_Royal Medal,Physical chemistry,51435,265463,Yes
George Andrew Olah,1927,NA,Hungary,Case Western Reserve University_University of South California,Budapest University of Technology and Economics,ACS Henry Morley Medal_California Scientist of the Year_Tolman Award,Chemistry,3138,28171,Yes
Kurt Alder,1902,1958,Germany,I G Farben Industrie_University of Cologne,University of Berlin_University of Kiel,NONE,Organic chemistry,4109,44274,Yes
Tadeus Reichstein,1897,1996,Poland,University of Basel,ETH Zurich,Marcel Benoist Prize,Chemistry,583,6138,Yes
Walter Haworth,1883,1950,United Kingdom,University of St. Andrews_Durham University_University of Birmingham,University of Manchester_University of Gottingen,Davy Medal,Organic chemistry,550,14685,Yes
Henry Gwyn Jeffreys Moseley,1887,1915,United Kingdom,University of Manchester,University of Oxford_University of Manchester,Matteucci Medal,Physics_Chemistry,236,6172,Yes
Stanley Miller,1930,2007,United States,University of Chicago_Columbia University_University of California San Diego,University of California at Berkeley,Oparin Medal,Chemistry,7039,108826,No
Francis William Aston,1877,1945,United Kingdom,University of Cambridge,University of Birmingham_University of Cambridge,Hughes Medal,Chemistry_Physics,2446,26601,Yes
Alan MacDiarmid,1927,2007,United States,University of Pennsylvania_University of St. Andrews_University of Texas at Dallas,Victoria University of Wellington_University of Cambridge_University of Wisconsin Madison,The Francis J. Clamer Medal,Chemistry,14562,103024,Yes
Gilbert Newton Lewis,1875,1946,United States,University of California Berkeley,Harvard University_MIT,Fellow of the Royal Society_Willard Gibbs Award_Davy Medal,Physical chemist,1790,68213,No
Roald Hoffmann,1937,NA,United States,Cornell University,Columbia University_Harvard University,NONE,Chemistry,16505,124038,Yes
Adolf Otto Reinhold Windaus,1876,1959,Germany,University of Innsbruck_University of Gottingen,Huboldt University of Berlin,NONE,Organic chemistry_Biochemistry,19,190,Yes
Paul Lauterbur,1929,2007,United States,State University of New York at Stony Brook_University of Illinois at Urbana-Champaign_Carnegie Mellon University,Case Western Reserve University_University of Pittsburgh,Kyoto Prize_Bower Award_IEEE Medal of Honor_National Medal of Science_Harvey Prize_Potts Medal,Chemistry,6477,62683,Yes
Christopher Kelk Ingold,1893,1970,United Kingdom,Imperial College London_University of Leeds_University College London,Imperial College London,Davy Medal_Royal Medal_Fellow of the Royal Society,Chemistry,0,0,No
Svante Arrhenius,1859,1927,Sweden,Royal Institute of Technology,Uppsala University_Stockholm University,Davy Medal,Physics_Chemistry,4399,74727,Yes
Homer Burton Adkins,1892,1949,United States,University of Wisconsin Madison,Denison University_Ohio State University,NONE,Chemistry,6,33,No
Henry Taube,1915,2005,Canada,Cornell University_University of Chicago_Stanford University,University of California Berkeley,National Medal of Science,Chemistry,4217,55225,Yes
Giulio Natta,1903,1979,Italy,Pavia University_University of Rome La Sapienza_Politecnico di Torino,Politecnico di Milano,NONE,Organic chemistry,1688,36137,Yes
Fritz Haber,1868,1934,Germany,Swiss Federal Institute of Technology_University of Karlsruhe,Humboldt University of Berlin_Technical University of Berlin_University of Heidelburg,NONE,Physical chemistry,4326,67780,Yes
Dorothy Hodgkin,1910,1994,United Kingdom,Universtoy of Oxford,University of Oxford,Royal Medal,Biochemistry,2885,53325,Yes
Paul Josef Crutzen,1933,NA,Netherlands,University of California San Diego_Seoul National University_ Georgia Institute of Technology_Stockholm University,Stockholm University,Tyler Prize for Environmental Achievement_Volvo Environment Prize,Chemistry_Physics,1373,41278,Yes
Venkatraman Ramakrishnan,1952,NA,United States_United Kingdom,MRC Laboratory of Molecular Biology_University of Cambridge,Ohio State University_University of California San Diego,Louis-Jeantet Prize for Medicine,Biochemistry and Biophysics,361,7605,Yes
Alfred Werner,1866,1919,Switzerland,University of Zurich,University of Zurich_ETH Zurich,NONE,Inorganic chemistry,1704,50766,Yes
Vladimir Ipatieff,1867,1952,Russia_United States,Northwestern University,Mikhailovskaya Artillery Academy,Willard Gibbs Award,NONE,218,4149,No
Johannes Nicolaus Bronsted,1879,1947,Denmark,University of Copenhagen,University of Copenhagen,NONE,Physical chemistry,472,8503,No
Avram Hershko,1937,NA,Israel,Rappaport Faculty of Medicine,Hebrew University of Jerusalem,NONE,Chemistry,12704,125485,Yes
Ryoji Noyori,1938,NA,Japan,Harvard University_RIKEN_Nagoya University,Kyoto University,Asahi Prize_Tetrahedron Prize_Arthur CCope Award_Wolf Prize in Chemistry_Lomonosov Gold Medal,Chemistry,8729,88485,Yes
